frequency	magnitude	phase
10	1	-0.0238138
12.5893	1	-0.0299798
15.8489	1	-0.0377424
19.9526	1	-0.0475148
25.1189	0.999999	-0.0598176
31.6228	0.999999	-0.0753059
39.8107	0.999999	-0.0948045
50.1187	0.999998	-0.119352
63.0957	0.999997	-0.150255
79.4328	0.999995	-0.189159
100	0.999991	-0.238137
100	0.999991	-0.238137
125.893	0.999986	-0.299796
158.489	0.999978	-0.377418
199.526	0.999966	-0.475137
251.189	0.999946	-0.598155
316.228	0.999914	-0.753016
398.107	0.999863	-0.947959
501.187	0.999783	-1.19335
630.957	0.999656	-1.50221
794.328	0.999455	-1.89091
1000	0.999137	-2.38001
