frequency	magnitude	phase
10	0.992243	-0.0238138
12.5893	0.992243	-0.0299798
15.8489	0.992243	-0.0377424
19.9526	0.992243	-0.0475148
25.1189	0.992242	-0.0598176
31.6228	0.992242	-0.0753059
39.8107	0.992242	-0.0948045
50.1187	0.992241	-0.119352
63.0957	0.99224	-0.150255
79.4328	0.992238	-0.189159
100	0.992234	-0.238137
100	0.992234	-0.238137
125.893	0.992229	-0.299796
158.489	0.992221	-0.377418
199.526	0.992209	-0.475137
251.189	0.992189	-0.598155
316.228	0.992157	-0.753016
398.107	0.992107	-0.947959
501.187	0.992028	-1.19335
630.957	0.991902	-1.50221
794.328	0.991703	-1.89091
1000	0.991387	-2.38001
