frequency	magnitude	phase
10	0.661495	-0.0238138
12.5893	0.661495	-0.0299798
15.8489	0.661495	-0.0377424
19.9526	0.661495	-0.0475148
25.1189	0.661495	-0.0598176
31.6228	0.661495	-0.0753059
39.8107	0.661494	-0.0948045
50.1187	0.661494	-0.119352
63.0957	0.661493	-0.150255
79.4328	0.661492	-0.189159
100	0.66149	-0.238137
100	0.66149	-0.238137
125.893	0.661486	-0.299796
158.489	0.661481	-0.377418
199.526	0.661473	-0.475137
251.189	0.661459	-0.598155
316.228	0.661438	-0.753016
398.107	0.661405	-0.947959
501.187	0.661352	-1.19335
630.957	0.661268	-1.50221
794.328	0.661135	-1.89091
1000	0.660925	-2.38001
